HGNC ID	Status	Approved symbol	Approved name	NCBI gene ID	Ensembl gene ID
HGNC:23	Approved	ABAT	4-aminobutyrate aminotransferase	18	ENSG00000183044
HGNC:29	Approved	ABCA1	ATP binding cassette subfamily A member 1	19	ENSG00000165029
HGNC:32	Approved	ABCA2	ATP binding cassette subfamily A member 2	20	ENSG00000107331
HGNC:33	Approved	ABCA3	ATP binding cassette subfamily A member 3	21	ENSG00000167972
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4	24	ENSG00000198691
HGNC:35	Approved	ABCA5	ATP binding cassette subfamily A member 5	23461	ENSG00000154265
HGNC:36	Approved	ABCA6	ATP binding cassette subfamily A member 6	23460	ENSG00000154262
HGNC:37	Approved	ABCA7	ATP binding cassette subfamily A member 7	10347	ENSG00000064687
HGNC:38	Approved	ABCA8	ATP binding cassette subfamily A member 8	10351	ENSG00000141338
HGNC:39	Approved	ABCA9	ATP binding cassette subfamily A member 9	10350	ENSG00000154258
HGNC:30	Approved	ABCA10	ATP binding cassette subfamily A member 10	10349	ENSG00000154263
HGNC:14637	Approved	ABCA12	ATP binding cassette subfamily A member 12	26154	ENSG00000144452
HGNC:14638	Approved	ABCA13	ATP binding cassette subfamily A member 13	154664	ENSG00000179869
HGNC:40	Approved	ABCB1	ATP binding cassette subfamily B member 1	5243	ENSG00000085563
HGNC:45	Approved	ABCB4	ATP binding cassette subfamily B member 4	5244	ENSG00000005471
HGNC:46	Approved	ABCB5	ATP binding cassette subfamily B member 5	340273	ENSG00000004846
HGNC:47	Approved	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	ENSG00000115657
HGNC:49	Approved	ABCB8	ATP binding cassette subfamily B member 8	11194	ENSG00000197150
HGNC:50	Approved	ABCB9	ATP binding cassette subfamily B member 9	23457	ENSG00000150967
HGNC:41	Approved	ABCB10	ATP binding cassette subfamily B member 10	23456	ENSG00000135776
HGNC:42	Approved	ABCB11	ATP binding cassette subfamily B member 11	8647	ENSG00000073734
HGNC:51	Approved	ABCC1	ATP binding cassette subfamily C member 1	4363	ENSG00000103222
HGNC:53	Approved	ABCC2	ATP binding cassette subfamily C member 2	1244	ENSG00000023839
HGNC:54	Approved	ABCC3	ATP binding cassette subfamily C member 3	8714	ENSG00000108846
HGNC:55	Approved	ABCC4	ATP binding cassette subfamily C member 4	10257	ENSG00000125257
HGNC:56	Approved	ABCC5	ATP binding cassette subfamily C member 5	10057	ENSG00000114770
HGNC:57	Approved	ABCC6	ATP binding cassette subfamily C member 6	368	ENSG00000091262
HGNC:59	Approved	ABCC8	ATP binding cassette subfamily C member 8	6833	ENSG00000006071
HGNC:60	Approved	ABCC9	ATP binding cassette subfamily C member 9	10060	ENSG00000069431
HGNC:52	Approved	ABCC10	ATP binding cassette subfamily C member 10	89845	ENSG00000124574
HGNC:14639	Approved	ABCC11	ATP binding cassette subfamily C member 11	85320	ENSG00000121270
HGNC:14640	Approved	ABCC12	ATP binding cassette subfamily C member 12	94160	ENSG00000140798
HGNC:66	Approved	ABCD2	ATP binding cassette subfamily D member 2	225	ENSG00000173208
HGNC:67	Approved	ABCD3	ATP binding cassette subfamily D member 3	5825	ENSG00000117528
HGNC:68	Approved	ABCD4	ATP binding cassette subfamily D member 4	5826	ENSG00000119688
HGNC:69	Approved	ABCE1	ATP binding cassette subfamily E member 1	6059	ENSG00000164163
HGNC:70	Approved	ABCF1	ATP binding cassette subfamily F member 1	23	ENSG00000204574
HGNC:71	Approved	ABCF2	ATP binding cassette subfamily F member 2	10061	ENSG00000033050
HGNC:72	Approved	ABCF3	ATP binding cassette subfamily F member 3	55324	ENSG00000161204
HGNC:73	Approved	ABCG1	ATP binding cassette subfamily G member 1	9619	ENSG00000160179
HGNC:74	Approved	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	ENSG00000118777
HGNC:13884	Approved	ABCG4	ATP binding cassette subfamily G member 4	64137	ENSG00000172350
HGNC:13886	Approved	ABCG5	ATP binding cassette subfamily G member 5	64240	ENSG00000138075
HGNC:13887	Approved	ABCG8	ATP binding cassette subfamily G member 8	64241	ENSG00000143921
HGNC:17553	Approved	ABHD1	abhydrolase domain containing 1	84696	ENSG00000143994
HGNC:18717	Approved	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	11057	ENSG00000140526
HGNC:18718	Approved	ABHD3	abhydrolase domain containing 3, phospholipase	171586	ENSG00000158201
HGNC:20154	Approved	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	63874	ENSG00000100439
HGNC:21396	Approved	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	51099	ENSG00000011198
HGNC:21398	Approved	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	57406	ENSG00000163686
HGNC:23759	Approved	ABHD8	abhydrolase domain containing 8	79575	ENSG00000127220
HGNC:25656	Approved	ABHD10	abhydrolase domain containing 10, depalmitoylase	55347	ENSG00000144827
HGNC:16407	Approved	ABHD11	abhydrolase domain containing 11	83451	ENSG00000106077
HGNC:15868	Approved	ABHD12	abhydrolase domain containing 12, lysophospholipase	26090	ENSG00000100997
HGNC:19837	Approved	ABHD12B	abhydrolase domain containing 12B	145447	ENSG00000131969
HGNC:20293	Approved	ABHD13	abhydrolase domain containing 13	84945	ENSG00000139826
HGNC:24538	Approved	ABHD14A	abhydrolase domain containing 14A	25864	ENSG00000248487
HGNC:28235	Approved	ABHD14B	abhydrolase domain containing 14B	84836	ENSG00000114779
HGNC:26971	Approved	ABHD15	abhydrolase domain containing 15	116236	ENSG00000168792
HGNC:13921	Approved	ABHD16A	abhydrolase domain containing 16A, phospholipase	7920	ENSG00000204427
HGNC:16128	Approved	ABHD16B	abhydrolase domain containing 16B	140701	ENSG00000183260
HGNC:28756	Approved	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	81926	ENSG00000129968
HGNC:24278	Approved	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	51104	ENSG00000107362
HGNC:26925	Approved	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	58489	ENSG00000136379
HGNC:26111	Approved	ABHD18	abhydrolase domain containing 18	80167	ENSG00000164074
HGNC:11320	Approved	ABI1	abl interactor 1	10006	ENSG00000136754
HGNC:24011	Approved	ABI2	abl interactor 2	10152	ENSG00000138443
HGNC:29859	Approved	ABI3	ABI family member 3	51225	ENSG00000108798
HGNC:17265	Approved	ABI3BP	ABI family member 3 binding protein	25890	ENSG00000154175
HGNC:1364	Approved	ABITRAM	actin binding transcription modulator	54942	ENSG00000119328
HGNC:76	Approved	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	ENSG00000097007
HGNC:77	Approved	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	ENSG00000143322
HGNC:78	Approved	ABLIM1	actin binding LIM protein 1	3983	ENSG00000099204
HGNC:19195	Approved	ABLIM2	actin binding LIM protein family member 2	84448	ENSG00000163995
HGNC:29132	Approved	ABLIM3	actin binding LIM protein family member 3	22885	ENSG00000173210
HGNC:79	Approved	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	28	ENSG00000175164
HGNC:81	Approved	ABR	ABR activator of RhoGEF and GTPase	29	ENSG00000159842
HGNC:30655	Approved	ABRA	actin binding Rho activating protein	137735	ENSG00000174429
HGNC:21230	Approved	ABRACL	ABRA C-terminal like	58527	ENSG00000146386
HGNC:25829	Approved	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	84142	ENSG00000163322
HGNC:28975	Approved	ABRAXAS2	abraxas 2, BRISC complex subunit	23172	ENSG00000165660
HGNC:17369	Approved	ABT1	activator of basal transcription 1	29777	ENSG00000146109
HGNC:18275	Approved	ABTB1	ankyrin repeat and BTB domain containing 1	80325	ENSG00000114626
HGNC:23842	Approved	ABTB2	ankyrin repeat and BTB domain containing 2	25841	ENSG00000166016
HGNC:82	Approved	ACAA1	acetyl-CoA acyltransferase 1	30	ENSG00000060971
HGNC:83	Approved	ACAA2	acetyl-CoA acyltransferase 2	10449	ENSG00000167315
HGNC:84	Approved	ACACA	acetyl-CoA carboxylase alpha	31	ENSG00000278540
HGNC:85	Approved	ACACB	acetyl-CoA carboxylase beta	32	ENSG00000076555
HGNC:87	Approved	ACAD8	acyl-CoA dehydrogenase family member 8	27034	ENSG00000151498
HGNC:21497	Approved	ACAD9	acyl-CoA dehydrogenase family member 9	28976	ENSG00000177646
HGNC:21597	Approved	ACAD10	acyl-CoA dehydrogenase family member 10	80724	ENSG00000111271
HGNC:30211	Approved	ACAD11	acyl-CoA dehydrogenase family member 11	84129	ENSG00000240303
HGNC:88	Approved	ACADL	acyl-CoA dehydrogenase long chain	33	ENSG00000115361
HGNC:89	Approved	ACADM	acyl-CoA dehydrogenase medium chain	34	ENSG00000117054
HGNC:90	Approved	ACADS	acyl-CoA dehydrogenase short chain	35	ENSG00000122971
HGNC:91	Approved	ACADSB	acyl-CoA dehydrogenase short/branched chain	36	ENSG00000196177
HGNC:92	Approved	ACADVL	acyl-CoA dehydrogenase very long chain	37	ENSG00000072778
HGNC:319	Approved	ACAN	aggrecan	176	ENSG00000157766
HGNC:16467	Approved	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	ENSG00000072818
HGNC:16469	Approved	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	23527	ENSG00000114331
HGNC:16754	Approved	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	116983	ENSG00000131584
HGNC:93	Approved	ACAT1	acetyl-CoA acetyltransferase 1	38	ENSG00000075239
HGNC:94	Approved	ACAT2	acetyl-CoA acetyltransferase 2	39	ENSG00000120437
HGNC:15453	Approved	ACBD3	acyl-CoA binding domain containing 3	64746	ENSG00000182827
HGNC:23337	Approved	ACBD4	acyl-CoA binding domain containing 4	79777	ENSG00000181513
HGNC:23338	Approved	ACBD5	acyl-CoA binding domain containing 5	91452	ENSG00000107897
HGNC:23339	Approved	ACBD6	acyl-CoA binding domain containing 6	84320	ENSG00000230124
HGNC:17715	Approved	ACBD7	acyl-CoA binding domain containing 7	414149	ENSG00000176244
HGNC:23989	Approved	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680	ENSG00000110455
HGNC:34391	Approved	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	390110	ENSG00000205126
HGNC:25070	Approved	ACD	ACD shelterin complex subunit and telomerase recruitment factor	65057	ENSG00000102977
HGNC:2707	Approved	ACE	angiotensin I converting enzyme	1636	ENSG00000159640
HGNC:18356	Approved	ACER1	alkaline ceramidase 1	125981	ENSG00000167769
HGNC:23675	Approved	ACER2	alkaline ceramidase 2	340485	ENSG00000177076
HGNC:16066	Approved	ACER3	alkaline ceramidase 3	55331	ENSG00000078124
HGNC:108	Approved	ACHE	acetylcholinesterase (Cartwright blood group)	43	ENSG00000087085
HGNC:17066	Approved	ACIN1	apoptotic chromatin condensation inducer 1	22985	ENSG00000100813
HGNC:4035	Approved	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532	ENSG00000213088
HGNC:1565	Approved	ACKR2	atypical chemokine receptor 2	1238	ENSG00000144648
HGNC:23692	Approved	ACKR3	atypical chemokine receptor 3	57007	ENSG00000144476
HGNC:1611	Approved	ACKR4	atypical chemokine receptor 4	51554	ENSG00000129048
HGNC:115	Approved	ACLY	ATP citrate lyase	47	ENSG00000131473
HGNC:19288	Approved	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	130013	ENSG00000153086
HGNC:117	Approved	ACO1	aconitase 1	48	ENSG00000122729
HGNC:118	Approved	ACO2	aconitase 2	50	ENSG00000100412
HGNC:33904	Approved	ACOD1	aconitate decarboxylase 1	730249	ENSG00000102794
HGNC:33128	Approved	ACOT1	acyl-CoA thioesterase 1	641371	ENSG00000184227
HGNC:18431	Approved	ACOT2	acyl-CoA thioesterase 2	10965	ENSG00000119673
HGNC:19748	Approved	ACOT4	acyl-CoA thioesterase 4	122970	ENSG00000177465
HGNC:33159	Approved	ACOT6	acyl-CoA thioesterase 6	641372	ENSG00000205669
HGNC:24157	Approved	ACOT7	acyl-CoA thioesterase 7	11332	ENSG00000097021
HGNC:15919	Approved	ACOT8	acyl-CoA thioesterase 8	10005	ENSG00000101473
HGNC:18156	Approved	ACOT11	acyl-CoA thioesterase 11	26027	ENSG00000162390
HGNC:24436	Approved	ACOT12	acyl-CoA thioesterase 12	134526	ENSG00000172497
HGNC:20999	Approved	ACOT13	acyl-CoA thioesterase 13	55856	ENSG00000112304
HGNC:119	Approved	ACOX1	acyl-CoA oxidase 1	51	ENSG00000161533
HGNC:120	Approved	ACOX2	acyl-CoA oxidase 2	8309	ENSG00000168306
HGNC:121	Approved	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	ENSG00000087008
HGNC:25621	Approved	ACOXL	acyl-CoA oxidase like	55289	ENSG00000153093
HGNC:122	Approved	ACP1	acid phosphatase 1	52	ENSG00000143727
HGNC:123	Approved	ACP2	acid phosphatase 2, lysosomal	53	ENSG00000134575
HGNC:125	Approved	ACP3	acid phosphatase 3	55	ENSG00000014257
HGNC:14376	Approved	ACP4	acid phosphatase 4	93650	ENSG00000142513
HGNC:124	Approved	ACP5	acid phosphatase 5, tartrate resistant	54	ENSG00000102575
HGNC:29609	Approved	ACP6	acid phosphatase 6, lysophosphatidic	51205	ENSG00000162836
HGNC:33781	Approved	ACP7	acid phosphatase 7, tartrate resistant (putative)	390928	ENSG00000183760
HGNC:126	Approved	ACR	acrosin	49	ENSG00000100312
HGNC:17195	Approved	ACRBP	acrosin binding protein	84519	ENSG00000111644
HGNC:127	Approved	ACRV1	acrosomal vesicle protein 1	56	ENSG00000134940
HGNC:29567	Approved	ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205	ENSG00000103740
HGNC:24174	Approved	ACSBG2	acyl-CoA synthetase bubblegum family member 2	81616	ENSG00000130377
HGNC:26101	Approved	ACSF2	acyl-CoA synthetase family member 2	80221	ENSG00000167107
HGNC:27288	Approved	ACSF3	acyl-CoA synthetase family member 3	197322	ENSG00000176715
HGNC:3569	Approved	ACSL1	acyl-CoA synthetase long chain family member 1	2180	ENSG00000151726
HGNC:3570	Approved	ACSL3	acyl-CoA synthetase long chain family member 3	2181	ENSG00000123983
HGNC:16526	Approved	ACSL5	acyl-CoA synthetase long chain family member 5	51703	ENSG00000197142
HGNC:16496	Approved	ACSL6	acyl-CoA synthetase long chain family member 6	23305	ENSG00000164398
HGNC:18049	Approved	ACSM1	acyl-CoA synthetase medium chain family member 1	116285	ENSG00000166743
HGNC:32017	Approved	ACSM2A	acyl-CoA synthetase medium chain family member 2A	123876	ENSG00000183747
HGNC:30931	Approved	ACSM2B	acyl-CoA synthetase medium chain family member 2B	348158	ENSG00000066813
HGNC:10522	Approved	ACSM3	acyl-CoA synthetase medium chain family member 3	6296	ENSG00000005187
HGNC:32016	Approved	ACSM4	acyl-CoA synthetase medium chain family member 4	341392	ENSG00000215009
HGNC:26060	Approved	ACSM5	acyl-CoA synthetase medium chain family member 5	54988	ENSG00000183549
HGNC:31665	Approved	ACSM6	acyl-CoA synthetase medium chain family member 6	142827	ENSG00000173124
HGNC:16091	Approved	ACSS1	acyl-CoA synthetase short chain family member 1	84532	ENSG00000154930
HGNC:15814	Approved	ACSS2	acyl-CoA synthetase short chain family member 2	55902	ENSG00000131069
HGNC:24723	Approved	ACSS3	acyl-CoA synthetase short chain family member 3	79611	ENSG00000111058
HGNC:129	Approved	ACTA1	actin alpha 1, skeletal muscle	58	ENSG00000143632
HGNC:130	Approved	ACTA2	actin alpha 2, smooth muscle	59	ENSG00000107796
HGNC:132	Approved	ACTB	actin beta	60	ENSG00000075624
HGNC:17780	Approved	ACTBL2	actin beta like 2	345651	ENSG00000169067
HGNC:143	Approved	ACTC1	actin alpha cardiac muscle 1	70	ENSG00000159251
HGNC:144	Approved	ACTG1	actin gamma 1	71	ENSG00000184009
HGNC:145	Approved	ACTG2	actin gamma 2, smooth muscle	72	ENSG00000163017
HGNC:24124	Approved	ACTL6A	actin like 6A	86	ENSG00000136518
HGNC:160	Approved	ACTL6B	actin like 6B	51412	ENSG00000077080
HGNC:161	Approved	ACTL7A	actin like 7A	10881	ENSG00000187003
HGNC:162	Approved	ACTL7B	actin like 7B	10880	ENSG00000148156
HGNC:24018	Approved	ACTL8	actin like 8	81569	ENSG00000117148
HGNC:28494	Approved	ACTL9	actin like 9	284382	ENSG00000181786
HGNC:16127	Approved	ACTL10	actin like 10	170487	ENSG00000182584
HGNC:163	Approved	ACTN1	actinin alpha 1	87	ENSG00000072110
HGNC:164	Approved	ACTN2	actinin alpha 2	88	ENSG00000077522
HGNC:165	Approved	ACTN3	actinin alpha 3	89	ENSG00000248746
HGNC:166	Approved	ACTN4	actinin alpha 4	81	ENSG00000130402
HGNC:167	Approved	ACTR1A	actin related protein 1A	10121	ENSG00000138107
HGNC:168	Approved	ACTR1B	actin related protein 1B	10120	ENSG00000115073
HGNC:169	Approved	ACTR2	actin related protein 2	10097	ENSG00000138071
HGNC:170	Approved	ACTR3	actin related protein 3	10096	ENSG00000115091
HGNC:17256	Approved	ACTR3B	actin related protein 3B	57180	ENSG00000133627
HGNC:37282	Approved	ACTR3C	actin related protein 3C	653857	ENSG00000106526
HGNC:14671	Approved	ACTR5	actin related protein 5	79913	ENSG00000101442
HGNC:24025	Approved	ACTR6	actin related protein 6	64431	ENSG00000075089
HGNC:14672	Approved	ACTR8	actin related protein 8	93973	ENSG00000113812
HGNC:17372	Approved	ACTR10	actin related protein 10	55860	ENSG00000131966
HGNC:24026	Approved	ACTRT2	actin related protein T2	140625	ENSG00000169717
HGNC:24022	Approved	ACTRT3	actin related protein T3	84517	ENSG00000184378
HGNC:171	Approved	ACVR1	activin A receptor type 1	90	ENSG00000115170
HGNC:172	Approved	ACVR1B	activin A receptor type 1B	91	ENSG00000135503
HGNC:18123	Approved	ACVR1C	activin A receptor type 1C	130399	ENSG00000123612
HGNC:173	Approved	ACVR2A	activin A receptor type 2A	92	ENSG00000121989
HGNC:174	Approved	ACVR2B	activin A receptor type 2B	93	ENSG00000114739
HGNC:175	Approved	ACVRL1	activin A receptor like type 1	94	ENSG00000139567
HGNC:177	Approved	ACY1	aminoacylase 1	95	ENSG00000243989
HGNC:24104	Approved	ACY3	aminoacylase 3	91703	ENSG00000132744
HGNC:179	Approved	ACYP1	acylphosphatase 1	97	ENSG00000119640
HGNC:180	Approved	ACYP2	acylphosphatase 2	98	ENSG00000170634
HGNC:186	Approved	ADA	adenosine deaminase	100	ENSG00000196839
HGNC:1839	Approved	ADA2	adenosine deaminase 2	51816	ENSG00000093072
HGNC:30713	Approved	ADAD1	adenosine deaminase domain containing 1	132612	ENSG00000164113
HGNC:30714	Approved	ADAD2	adenosine deaminase domain containing 2	161931	ENSG00000140955
HGNC:31853	Approved	ADAL	adenosine deaminase like	161823	ENSG00000168803
HGNC:198	Approved	ADAM2	ADAM metallopeptidase domain 2	2515	ENSG00000104755
HGNC:214	Approved	ADAM7	ADAM metallopeptidase domain 7	8756	ENSG00000069206
HGNC:215	Approved	ADAM8	ADAM metallopeptidase domain 8	101	ENSG00000151651
HGNC:216	Approved	ADAM9	ADAM metallopeptidase domain 9	8754	ENSG00000168615
HGNC:188	Approved	ADAM10	ADAM metallopeptidase domain 10	102	ENSG00000137845
HGNC:189	Approved	ADAM11	ADAM metallopeptidase domain 11	4185	ENSG00000073670
HGNC:190	Approved	ADAM12	ADAM metallopeptidase domain 12	8038	ENSG00000148848
HGNC:193	Approved	ADAM15	ADAM metallopeptidase domain 15	8751	ENSG00000143537
HGNC:195	Approved	ADAM17	ADAM metallopeptidase domain 17	6868	ENSG00000151694
HGNC:196	Approved	ADAM18	ADAM metallopeptidase domain 18	8749	ENSG00000168619
HGNC:197	Approved	ADAM19	ADAM metallopeptidase domain 19	8728	ENSG00000135074
HGNC:199	Approved	ADAM20	ADAM metallopeptidase domain 20	8748	ENSG00000134007
HGNC:200	Approved	ADAM21	ADAM metallopeptidase domain 21	8747	ENSG00000139985
HGNC:201	Approved	ADAM22	ADAM metallopeptidase domain 22	53616	ENSG00000008277
HGNC:202	Approved	ADAM23	ADAM metallopeptidase domain 23	8745	ENSG00000114948
HGNC:206	Approved	ADAM28	ADAM metallopeptidase domain 28	10863	ENSG00000042980
HGNC:207	Approved	ADAM29	ADAM metallopeptidase domain 29	11086	ENSG00000168594
HGNC:208	Approved	ADAM30	ADAM metallopeptidase domain 30	11085	ENSG00000134249
HGNC:15479	Approved	ADAM32	ADAM metallopeptidase domain 32	203102	ENSG00000197140
HGNC:15478	Approved	ADAM33	ADAM metallopeptidase domain 33	80332	ENSG00000149451
HGNC:16299	Approved	ADAMDEC1	ADAM like decysin 1	27299	ENSG00000134028
HGNC:217	Approved	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	9510	ENSG00000154734
HGNC:218	Approved	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	9509	ENSG00000087116
HGNC:219	Approved	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	9508	ENSG00000156140
HGNC:220	Approved	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	9507	ENSG00000158859
HGNC:221	Approved	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	11096	ENSG00000154736
HGNC:222	Approved	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	11174	ENSG00000049192
HGNC:223	Approved	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	11173	ENSG00000136378
HGNC:224	Approved	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	11095	ENSG00000134917
HGNC:13202	Approved	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	56999	ENSG00000163638
HGNC:13201	Approved	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	81794	ENSG00000142303
HGNC:14605	Approved	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	81792	ENSG00000151388
HGNC:1366	Approved	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	11093	ENSG00000160323
HGNC:14899	Approved	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	140766	ENSG00000138316
HGNC:16305	Approved	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	170689	ENSG00000166106
HGNC:17108	Approved	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	170690	ENSG00000145536
HGNC:17109	Approved	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	170691	ENSG00000140470
HGNC:17110	Approved	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	170692	ENSG00000140873
HGNC:17111	Approved	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	171019	ENSG00000145808
HGNC:17178	Approved	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	80070	ENSG00000173157
HGNC:14632	Approved	ADAMTSL1	ADAMTS like 1	92949	ENSG00000178031
HGNC:14631	Approved	ADAMTSL2	ADAMTS like 2	9719	ENSG00000197859
HGNC:14633	Approved	ADAMTSL3	ADAMTS like 3	57188	ENSG00000156218
HGNC:19706	Approved	ADAMTSL4	ADAMTS like 4	54507	ENSG00000143382
HGNC:27912	Approved	ADAMTSL5	ADAMTS like 5	339366	ENSG00000185761
HGNC:16486	Approved	ADAP1	ArfGAP with dual PH domains 1	11033	ENSG00000105963
HGNC:16487	Approved	ADAP2	ArfGAP with dual PH domains 2	55803	ENSG00000184060
HGNC:225	Approved	ADAR	adenosine deaminase RNA specific	103	ENSG00000160710
HGNC:226	Approved	ADARB1	adenosine deaminase RNA specific B1	104	ENSG00000197381
HGNC:227	Approved	ADARB2	adenosine deaminase RNA specific B2 (inactive)	105	ENSG00000185736
HGNC:228	Approved	ADAT1	adenosine deaminase tRNA specific 1	23536	ENSG00000065457
HGNC:21172	Approved	ADAT2	adenosine deaminase tRNA specific 2	134637	ENSG00000189007
HGNC:25151	Approved	ADAT3	adenosine deaminase tRNA specific 3	113179	ENSG00000213638
HGNC:19038	Approved	ADCK1	aarF domain containing kinase 1	57143	ENSG00000063761
HGNC:19039	Approved	ADCK2	aarF domain containing kinase 2	90956	ENSG00000133597
HGNC:21738	Approved	ADCK5	aarF domain containing kinase 5	203054	ENSG00000173137
HGNC:232	Approved	ADCY1	adenylate cyclase 1	107	ENSG00000164742
HGNC:233	Approved	ADCY2	adenylate cyclase 2	108	ENSG00000078295
HGNC:234	Approved	ADCY3	adenylate cyclase 3	109	ENSG00000138031
HGNC:235	Approved	ADCY4	adenylate cyclase 4	196883	ENSG00000129467
HGNC:236	Approved	ADCY5	adenylate cyclase 5	111	ENSG00000173175
HGNC:237	Approved	ADCY6	adenylate cyclase 6	112	ENSG00000174233
HGNC:238	Approved	ADCY7	adenylate cyclase 7	113	ENSG00000121281
